ycsb_key,size
user2408371864701034737,1700
user5228908089637460490,1700
user8049444314573886243,1600
user4288574356201733490,1600
user1468038131265307737,1600
user7817899264014751554,1500
user1699583181824442426,1300
user4997363039078325801,1500
user2644821412497278990,1200
user5108340224729704523,1600
user8873773035044668275,1600
user1231930228763362049,2300
user3820921403140653113,2100
user6525917590482889145,1900
user4635659444355057900,1600
user8512069440321400374,1500
user4881823001484136080,1800
user7923848622352564030,2100
user9220858123197992685,1600
user1347470266357551770,1600
user8411147909297154144,1600
user1573987489603120213,1800
user8859154528474724784,1300
user7943494956236073767,1800
user8878800862358234521,1900
user4515091579447301933,1700
user5002390866391892047,1700
user1106334536542039836,1800
user276977988757691558,1800
user8652283639112666078,2100
user6973924209660459785,1900
user7596409868082749357,1700
user8184630686051585701,1400
user397545853665447525,1700
user2041640442664200590,1600
user6887621185206157046,1600
user6506271256599379408,2000
user3227796087934707205,1600
user4404237723872379893,1900
user8401433899964320217,1600
user874912816059361829,1600
user291938140621933614,1900
user880158958590769958,1600
user5344789772525948776,2000
user5460329810120138497,1800
user2885957142312790924,1800
user4283888174182465809,1600
user8748518988117644627,1900
user7813213081995483873,1700
user1116048545874873763,1900
user2292490181812546451,2100
user2513979577744548648,1500
user5802168755742054778,1500
user4866862849619894024,1600
user4278642031651057680,1400
user774209600252957482,1600
user4978058350489114629,1900
user4972812207957706500,1700
user663014099383736877,1700
user427124512099633072,2100
user6068196961972484578,1700
user2171580671610491919,2000
user6993788858761811405,1400
user1935472769108546231,1700
user9220639807980150802,1900
user8522343410166374749,1900
user2649725909734388554,1700
user4992116896546917672,1800
user3937144731323439964,1500
user2288022315011120653,1700
user8039170344728911868,1600
user2066532919079118456,1400
user9110564228135211093,1700
user1467819816047465854,1500
user2056040634016302198,1400
user1945965054171362489,2100
user8642911275074130716,1800
user2277530029948304395,1900
user991012814165691998,1500
user8416394051828562273,1600
user1101088394010631707,1300
user49900804999982667,1300
user2745182983009384772,2400
user5585365541829320262,2300
user6274507890822402836,1400
user6651731597922053241,2200
user2865750847917140739,1500
user2428236513802386357,1400
user8733340521035560688,1600
user3714753729584998754,1600
user4302974547553835098,1500
user4192898967708895389,1600
user6979170352191867914,1700
user1950091275678489722,2100
user9125182734705154584,1900
user175714812439146763,1700
user6762585453496975281,1400
user6636553130839969302,2000
user4997922999590466249,2100
user1940377266345655795,1900
user6988884361524701841,1700
user7577105179493538185,1900
user1693995393998735732,1700
user4530051731311543989,1500
user1468598091777448185,1900
user2413058046720302418,1300
user5716425691799892487,1200
user8999928687778130936,1700
user3222768260621140959,1500
user6752093168434159023,1700
user3941830913342707645,1600
user5575651532496486335,1600
user6505711296087238960,1600
user281664170776959239,1700
user4188212785689627708,1600
user1810437037399364466,1400
user7707045408439829514,1900
user8858594567962584336,2200
user884285180097897191,1600
user3575099491305873498,1900
user7354714177755096975,1700
user1211723934367711864,1500
user3328717618958953435,1700
user6188764826880240545,2200
user633995401461691778,1800
user3247660737036058825,1600
user8395627796920771640,1700
user8995242505758863255,1800
user6630965343014262608,1600
user7698233004913434600,1700
user8286453822882270944,1500
user5107438618923265510,1500
user5922176660137670297,2000
user3101640435201244544,1700
user4745735024199997609,1600
user2539432014671606962,2200
user5454523707076589920,1700
user7098618296075342985,1700
user994920720454977348,2100
user5113804682478954535,2100
user1604126108549446208,1300
user5340321905724522978,2400
user8641791354049849820,1800
user2291930221300406003,1700
user2981072570293488577,1700
user7445703384228667395,1600
user5112466446236831756,1100
user5700687264205668100,1800
user1810996997911504914,1600
user7331501582876600453,1800
user6650611676897772345,1600
user3575659451818013946,2000
user7585917583019933099,1900
user4545230198393627928,1400
user3590619603682256002,1400
user3579225712813000731,1600
user7818459224526892002,1600
user6163654035247480796,1500
user4393745438809563635,2000
user2638673664159431848,2400
user3222549945403299076,2300
user3002398785713419658,1700
user1462232028221759160,1500
user6994348819273951853,1500
user6987764440500420945,2100
user5817907183336279165,2400
user8385695472370095830,1600
user6989102676742543724,2200
user7340095671185153484,1500
user3238288372997523463,1600
user8170790455211624541,1600
user4414730008935196151,2500
user4856370564557077766,1900
user6753213089458439919,1600
user3679928928619405078,1800
user2283336132991852972,1600
user8752426894406929977,1700
user5812661040804871036,1700
user6621033018463586798,1700
user8532275734717050559,1500
user738824838775223358,1700
user4032260159304137617,2200
user2769515498912162190,1900
user1240742632289756963,1700
user5791676470679238520,1700
user6636211485545670737,2100
user6059384558446089664,1800
user6510179162888664758,1800
user7098399980857501102,1500
user4871549031639161705,2000
user8290798359607240060,1800
user7702577541638403716,1900
user1814003298394351251,2200
user6526135905700731028,2000
user4068204881294012189,2200
user7681592971512771200,2000
user7340873946915135815,2000
user532513909925305100,2400
user1715321609418666813,2600
user8974476250851072622,1900
user9084551830696012331,1900
user8386255432882236278,1900
user7798034614913399934,1400
user1799384791824407760,1700
user7119384550983133618,1600
user4740488881668589480,1400
user5576211493008626783,1500
user8884047004889642650,1900
user1592513902462349054,2300
user1482438322617409345,1800
user3927990682502746485,1700
user34722337917898728,1700
user6304646509768728831,1300
user1004293084493512710,1600
user4865742928595613128,1800
user7708383644681952293,1800
user6982736613186854699,2000
user5229468050149600938,1500
user7797256339183417603,2200
user5591389960090710722,1800
user3453411705373836635,1400
user2865190887405000291,1800
user6877688860655481236,1900
user4760695176064239665,1800
user1231370268251221601,1900
user7818240909309050119,1600
user2407811904188894289,1600
user5134010976874604720,1400
user1114928624850592867,1700
user5722231794843441064,1700
user2981632530805629025,2200
user2192906887030423000,2000
user8054130496593153924,2000
user649733829055916165,1800
user2629301300120896486,1400
user3957569340936932032,1400
user3252906879567466954,1500
user5450957446081603135,1700
user2157522125552688876,1500
user7134563018065217557,1600
user7585357622507792651,2300
user1569301307583852532,2200
user5686847033365706940,1900
user5098626215396870596,2100
user4193458928221035837,1900
user628749258930283649,1600
user9093924194734547693,1900
user4068423196511854072,1800
user7356612374509360202,1700
user1599999887042318975,2000
user9214492059642303660,1700
user4860838431358503564,2100
user2628523024390914155,1800
user752883384833026401,1700
user2897009387887747630,2000
user6032252239982610006,2400
user979400608078594844,1800
user2650845830758669450,1700
user3947855331604098105,1800
user1715539924636508696,1800
user4513753343205179154,1600
user1099968472986350811,1400
user7208693875920282694,1800
user6185198565885253760,1500
user5343109890989527432,2000
user2997930918911993860,1600
user7435211099165851137,2100
user5810762844050607809,1800
user757911212146592647,2500
user3118498783819749827,1600
user1934352848084265335,1700
user8658649702668355103,1600
user6426334295700765694,1500
user8397867638969333432,1800
user1146965440551182089,2300
user8993002663710301463,1600
user7782296187319175547,1200
user4902807571609768596,1600
user3231362348929693990,1700
user1026397575643426122,1700
user4407803984867366678,2000
user531393988901024204,2500
user2633427521628023719,1900
user8181282740274440799,2000
user6389051337468768343,1800
user5333395881656693505,1400
user2859726429655750279,2100
user4531171652335824885,2100
user1016683566310592195,1700
user5481314380245771013,1600
user8616338917122791506,1600
user4282549937940343030,1700
user406139941974000556,2000
user2077585164654075162,1900
user9209805877623035979,1800
user4772307382151336819,2300
user275298107221270214,1600
user5948749018089009507,1900
user1117386782116996542,1800
user2734130737434428066,1500
user59054853820676146,2100
user6610540733400770540,2300
user1582581577911673244,1700
